POPS_Number,Borough_Name,Borough_Code,Community_District,Address_Number,Street_Name,Zip_Code,Building_Address_With_Zip_Code,Tax_Block,Tax_Lot,Building_Name,Building_Location,Year_Completed,Building_Constructed,Public_Space_Type,Developer,Building_Architect,Principal_Public_Space_Designer,Size_Required,Hour_Of_Access_Required,Amenities_Required,Other_Required,Permitted_Amenities,Physically_Disabled,Latitude,Longitude,XCoordinate,YCoordinate
K020010,Brooklyn,3,2,620,FULTON STREET,11217,"620 FULTON STREET, Brooklyn, NY 11217",2108,1,,Building is located at the northeast corner of Fulton Street and St. Felix Street.,2017,Completed,Public Plaza,,,"Langan, Civil Engineer & Landscape Architect",Public Plaza 2768.00 sf,Public Plaza: 24 Hours,"Public Plaza: Bicycle Parking (1 rack to accomodate parking for 2 bicycles); Public Plaza: Drinking Fountain (1); Public Plaza: Lighting; Public Plaza: Litter Receptacles (2); Public Plaza: Planting (557.1 sf planting beds); Public Plaza: Plaque/Sign (3 entry signs, 1 information plaque combined with entry plaque on free standing post); Public Plaza: Retail Frontage (27'-11"" retail frontage); Public Plaza: Seating (96 LF of seating provided including fixed individual seats, fixed benches with and without backs); Public Plaza: Trees within Space (3 shade trees and 1 equivalent multistem tree)",,,Full/Partial,40.687418,-73.977918,990464,189776
K020011,Brooklyn,3,2,90,SANDS STREET,11201,"90 SANDS STREET, Brooklyn, NY 11201",87,9,,"Full block bound by Sands Street, Jay Street, High Street, and Pearl Street.",1996,Completed,Plaza,,,,Plaza 7672.25 sf,Plaza: 24 Hours,,,,None,40.699584,-73.987158,987794,194331
K020012,Brooklyn,3,2,286,ASHLAND PLACE,11217,"286 ASHLAND PLACE, Brooklyn, NY 11217",2110,3,BAM South,,,,Public Open Space,Two Trees Management,Ten Arquitectos,,,,,,,None,40.686202,-73.978499,990306,189408
K040001,Brooklyn,3,4,501,BUSHWICK AVENUE,11206,"501 BUSHWICK AVENUE, Brooklyn, NY 11206",3141,1,Rheingold Development,"Buildings located within five full blocks and one partial block, and is roughly bounded by Flushing Avenue, Beaver Street, Garden Street, Forrest Street, Stanwix Street, Melrose Street and Evergreen Avenue.",Under Construction,Under Construction,Public Access Area,,,,,,,,,Full/Partial,40.701214,-73.935746,1001860,194583
K130001,Brooklyn,3,13,2121,BOARDWALK WEST,11224,"2121 BOARDWALK WEST, Brooklyn, NY 11224",7071,142,Seaside Park & Community Arts Center,,Completed,Completed,Open-Air Auditorium; Public Open Space,,"Gerner Kronick + Valcarcel, pc","Michael Van Valkenburgh Associates, Inc.",,,,,,Full/Partial,40.572811,-73.98806,987702,147828
K150001,Brooklyn,3,15,1809,EMMONS AVENUE,11235,"1809 EMMONS AVENUE, Brooklyn, NY 11235",8773,7501,,Between East 19th Street and Sheepshead Bay Road.,,,'Plaza',,,,,,,,,Full/Partial,40.583936,-73.950173,998075,151857
M010002,Manhattan,1,1,101,BARCLAY STREET,10007,"101 BARCLAY STREET, New York, NY 10007",128,2,,"Full block bounded by Barclay, Greenwich, Murray, and West Streets",1983,Completed,Pedestrian Easement; Public Lobby,,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",Pedestrian Easement 0.00 sf; Public Lobby 0.00 sf,Pedestrian Easement: 24 Hours; Public Lobby: 24 Hours,Pedestrian Easement: Trees on Street (41 in sidewalk and building setback area); Pedestrian Easement: Trees within Space (7); Public Lobby: None,,,Full/Partial,40.71451,-74.012236,980858,199592
M010003,Manhattan,1,1,130,LIBERTY STREET,10006,"130 LIBERTY STREET, New York, NY 10006",54,1,One Bankers Trust Plaza,"Full block bounded by Liberty, Albany, Washington, and Greenwich Streets",1973,Completed,Arcade; Elevated Plaza; Elevated Shopping Way; Pedestrian Bridge; Pedestrian Connection; Plaza; Shopping Arcade,Fisher Brothers,"Shreve, Lamb & Harmon","Shreve, Lamb & Harmon; Thomas Balsley Associates",Arcade 7175.00 sf; Elevated Plaza 0.00 sf; Elevated Shopping Way 0.00 sf; Pedestrian Bridge 0.00 sf; Pedestrian Connection 0.00 sf; Plaza 7623.00 sf; Shopping Arcade 0.00 sf,"Arcade: 24 Hours; Elevated Plaza: 24 Hours; Elevated Shopping Way: Restricted Hours (Weekdays, 7:00 am to 7:00 pm); Pedestrian Bridge: 24 Hours; Pedestrian Connection: 24 Hours; Plaza: 24 Hours; Shopping Arcade: 24 Hours",Arcade: Water Feature (Semicircular fountain of approximately 55-foot diameter); Elevated Plaza: Other Required (2 kiosks); Elevated Plaza: Planting; Elevated Plaza: Seating (Approximately 350 linear feet on planter ledge); Elevated Plaza: Trees within Space (16); Elevated Shopping Way: Climate Control; Elevated Shopping Way: Escalator (Connecting Shopping Arcade to Elevated Shopping Way); Elevated Shopping Way: Retail Frontage; Pedestrian Bridge: None; Pedestrian Connection: Other Required (Pedestrian Underpass between One Liberty Plaza and World Trade Center extending from the northwest corner of Church and Cortlandt Streets westward under Church Street); Plaza: None; Shopping Arcade: Escalator (Connecting Shopping Arcade to Elevated Shopping Way); Shopping Arcade: Retail Frontage,2 kiosks; Pedestrian Underpass between One Liberty Plaza and World Trade Center extending from the northwest corner of Church and Cortlandt Streets westward under Church Street,Elevated Plaza: Other Permitted (Cafe),Full/Partial,40.709616,-74.013389,980538,197809
M010004,Manhattan,1,1,1,LIBERTY PLAZA,10006,"1 LIBERTY PLAZA, New York, NY 10006",62,7501,One Liberty Plaza,"Full block bounded by Broadway, Church Street, Liberty Street, and Cortlandt Street. Original BBL: 62/1001-1017.",1972,Completed,Open Area; Plaza,,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Cooper, Robertson and Partners Architects (for alteration in 2005)",Open Area 0.00 sf; Plaza 30361.50 sf,Open Area: 24 Hours; Plaza: 24 Hours,"Open Area: None; Plaza: Artwork (Abstract steel sculpture in Plaza to the south); Plaza: Lighting (In Plaza to the south); Plaza: Planting (in Plaza to the north, and 2 long rectangular raised planters with shrubs and 3 low planters in Plaza to the south); Plaza: Plaque/Sign (2 entry plaques and 1 information plaque in Plaza to the south); Plaza: Seating (1,010 linear feet of fixed benches in Plaza to the north; 32 fixed seats at tables in Plaza to the south); Plaza: Subway (Stair access to the subway station, open Monday through Friday from 8:00 am to 6:00 pm); Plaza: Tables (16 fixed tables in Plaza to the south); Plaza: Trees within Space (8 in planters in Plaza to the north; 55 honeylocust trees and 1 London Plane tree in Plaza to the south)",,,Full/Partial,40.709754,-74.010843,981244,197859
M010005,Manhattan,1,1,140,BROADWAY,10005,"140 BROADWAY, New York, NY 10005",48,1,,"Full block bounded by Nassau, Broadway, Cedar Street, and Liberty Street",1965,Completed,Plaza,Harry Helmsley,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Alta Planning & Design (for alteration in 2012)",Plaza 15924.30 sf,Plaza: 24 Hours,Plaza: None,,Plaza: Other Permitted (41-dock Bike Share bicycle docking station),Full/Partial,40.70865,-74.010117,981445,197457
M010006,Manhattan,1,1,33,MAIDEN LANE,10038,"33 MAIDEN LANE, New York, NY 10038",67,23,Two Federal Reserve Plaza,Full blockfront on east side of Nassau Street between Maiden Lane and John Street,1984,Completed,Covered Pedestrian Space; Public Pedestrian Circulation Area,George Klein,Johnson/Burgee Architects,Johnson/Burgee Architects,Covered Pedestrian Space 4441.00 sf; Public Pedestrian Circulation Area 935.00 sf,"Covered Pedestrian Space: Restricted Hours (Monday - Saturday, 6:00 am to 10:00 pm); Public Pedestrian Circulation Area: 24 Hours","Covered Pedestrian Space: Escalator (Leading to lower level and connecting directly to subway station); Covered Pedestrian Space: Lighting; Covered Pedestrian Space: Retail Frontage (167 linear feet (80% of the retail frontage on both levels of the Covered Pedestrian Space shall be leased to, among others, small stores and cafés)); Covered Pedestrian Space: Seating (17 chairs); Covered Pedestrian Space: Subway (Escalator access to subway station); Covered Pedestrian Space: Trees within Space (8 potted trees); Public Pedestrian Circulation Area: Lighting",,,Full/Partial,40.709123,-74.00848,981899,197629
M010007,Manhattan,1,1,100,WILLIAM STREET,10038,"100 WILLIAM STREET, New York, NY 10038",68,36,,Full blockfront on east side of William Street bounded by Platt and John Streets,1973,Completed,Covered Pedestrian Space,,Emery Roth & Sons,"Emery Roth & Sons; Rogers Marvel Architects, PLLC (for alteration in 2010)",Covered Pedestrian Space 5242.00 sf,Covered Pedestrian Space: Restricted Hours (7:00 am - midnight),"Covered Pedestrian Space: Lighting (5 horizontal foot candles); Covered Pedestrian Space: Plaque/Sign (2); Covered Pedestrian Space: Retail Frontage (""Flanking"" Covered Pedestrian Space); Covered Pedestrian Space: Seating (13.75 linear feet required, 55 lf provided)",,,Full/Partial,40.708346,-74.007199,982254,197346
M010008,Manhattan,1,1,200,WATER STREET,10038,"200 WATER STREET, New York, NY 10038",75,1,,"Full block bounded by Water Street, Pearl Street, John Street, and Fulton Street",1971,Completed,Arcade; Plaza,Robert Kaufman and Max Spitzer,Emery Roth & Sons,Emery Roth & Sons; Rogers Marvel Architects (for alteration in 2012),Arcade 3222.00 sf; Plaza 4010.00 sf,Arcade: 24 Hours; Plaza: 24 Hours,"Arcade: None; Plaza: Artwork (Art piece); Plaza: Litter Receptacles (1); Plaza: Planting (174 sf); Plaza: Plaque/Sign (1 at entry on John Street); Plaza: Seating (70 linear feet composed of benches with backs, benches without backs, and movable seating); Plaza: Tables (3); Plaza: Trees within Space (1)",,,Full/Partial,40.70741,-74.004736,982937,197005
M010009,Manhattan,1,1,180,WATER STREET,10038,"180 WATER STREET, New York, NY 10038",70,32,,Full blockfront on south side of John Street between Water and Pearl Streets,1969,Completed,Arcade; Plaza,Theodore Locker,Emery Roth & Sons,Emery Roth & Sons,Arcade 2404.41 sf; Plaza 3949.00 sf,Arcade: 24 Hours; Plaza: 24 Hours,Arcade: None; Plaza: None,,,Full/Partial,40.706996,-74.005544,982713,196854
M010010,Manhattan,1,1,88,PINE STREET,10005,"88 PINE STREET, New York, NY 10005",38,17,Wall Street Plaza,"Bounded by Front Street, Water Street, and Maiden Lane",1971,Completed,Special Permit Plaza,,I.M. Pei and Partners; C.Y. Tung/Morley Cho,I.M. Pei and Partners; C.Y. Tung/Morley Cho,Special Permit Plaza 9907.00 sf,Special Permit Plaza: 24 Hours,"Special Permit Plaza: Artwork; Special Permit Plaza: Planting; Special Permit Plaza: Seating (Circular bench of 38 linear feet; 24 chairs representing 60 linear feet available May 15 through September 15, 7:00 am to 7:00 pm, September 16 through May 14, 8:00 am to 5:00 pm); Special Permit Plaza: Subway (Passageway through the below street level concourse of the 88 Pine Street building to the Second Avenue Subway and a street level entrance from the plaza to the subway (subway not yet constructed)); Special Permit Plaza: Trees within Space (10); Special Permit Plaza: Water Feature (Waterfall and pool)",,,Full/Partial,40.705662,-74.006168,982540,196368
M010011,Manhattan,1,1,180,MAIDEN LANE,10005,"180 MAIDEN LANE, New York, NY 10005",37,23,,"Full block bounded by South Street, Front Street, Pine Street, and Maiden Lane",1982,Completed,Enclosed Public Space; Outdoor Public Space,,Swanke Hayden Connell; Kohn Pedersen Fox,Swanke Hayden Connell; Kohn Pedersen Fox; Thomas Balsley Associates (for Outdoor Public Space); Perkins Eastman (2015 Design Change),Enclosed Public Space 14442.00 sf; Outdoor Public Space 6678.00 sf,"Enclosed Public Space: Restricted Hours (Monday through Saturday, 8:30 am to 10:00 pm. Sundays from 10:00 am to 7:00 pm.); Outdoor Public Space: 24 Hours","Enclosed Public Space: Artwork (141 LF art wall); Enclosed Public Space: Climate Control; Enclosed Public Space: Drinking Fountain (2); Enclosed Public Space: Escalator (2); Enclosed Public Space: Food Service (284 sf kiosk); Enclosed Public Space: Litter Receptacles (8); Enclosed Public Space: Other Required (4,839 sf open exhibit area, 858 sf enclosed exhibit area, 365 sf); Enclosed Public Space: Planting (570 sf planting in bench containers); Enclosed Public Space: Plaque/Sign; Enclosed Public Space: Programs (series of special events, exhibits, and weekly performances of); Enclosed Public Space: Restrooms (2); Enclosed Public Space: Retail Frontage (920 sf of retail space); Enclosed Public Space: Seating (548 LF total seating provided, including 120 movable chairs. 75 Movable stools); Enclosed Public Space: Tables (24 movable tables); Enclosed Public Space: Trees within Space (15); Outdoor Public Space: Seating (276 linear feet of benches)","4,839 sf open exhibit area, 858 sf enclosed exhibit area, 365 sf",Enclosed Public Space: Other Permitted (185 sf Platform for presentations / performance; 1450 sf artificial recreational lawn),Full/Partial,40.705269,-74.005515,982721,196225
M010012,Manhattan,1,1,110,WALL STREET,10005,"110 WALL STREET, New York, NY 10005",37,8,,Northeast corner of Wall and Front Streets,1964,Completed,Arcade,,Emery Roth & Sons,Emery Roth & Sons,Arcade 3613.00 sf,Arcade: 24 Hours,Arcade: None,,Arcade: Open Air Cafe (N 190137 ZCM),Full/Partial,40.70491,-74.006355,982488,196094
M010013,Manhattan,1,1,100,WALL STREET,10005,"100 WALL STREET, New York, NY 10005",38,1,,"Bounded by Front, Water, and Wall Streets",1969,Completed,Arcade; Plaza,,Emery Roth & Sons,Emery Roth & Sons,Arcade 2518.00 sf; Plaza 5933.20 sf,Arcade: 24 Hours; Plaza: 24 Hours,Arcade: None; Plaza: None,,,Full/Partial,40.705244,-74.006755,982377,196216
M010014,Manhattan,1,1,95,WALL STREET,10005,"95 WALL STREET, New York, NY 10005",33,11,,Full blockfront on east side of  Water Street between Gouverneur Lane and Wall Street,1969,Completed,Arcade; Plaza,,Emery Roth & Sons,Emery Roth & Sons,Arcade 2446.00 sf; Plaza 1963.00 sf,Arcade: 24 Hours; Plaza: 24 Hours,Arcade: None; Plaza: None,,,Full/Partial,40.704676,-74.007581,982148,196009
M010015,Manhattan,1,1,111,WALL STREET,10005,"111 WALL STREET, New York, NY 10005",35,10,,"Full block bounded by South Street, Front Street, Gouverneur Lane, and Wall Street",1967,Completed,Arcade; Plaza,,Emery Roth & Sons,Emery Roth & Sons; Thomas Balsley Associates (for alteration),Arcade 4589.00 sf; Plaza 10883.00 sf,,,,,Full/Partial,40.704265,-74.006997,982310,195859
M010016,Manhattan,1,1,77,WATER STREET,10005,"77 WATER STREET, New York, NY 10005",33,1,,"Full block bounded by Front Street, Water Street, Old Slip, and Gouverneur Lane",1970,Completed,Arcade; Plaza,,Emery Roth & Sons,Emery Roth & Sons,Arcade 10335.00 sf; Plaza 4956.00 sf,Arcade: 24 Hours; Plaza: 24 Hours,Arcade: None; Plaza: None,,,Full/Partial,40.704226,-74.008198,981977,195845
M010017,Manhattan,1,1,86,WATER STREET,10005,"86 WATER STREET, New York, NY 10005",31,1,10 Hanover Square,East side of Hanover Square between Water and Pearl Streets,1971,Completed,Plaza,Harry B. Helmsley,Emery Roth & Sons,"Emery Roth & Sons; Skidmore, Owings & Merrill (for alteration in 1997)",Plaza 3416.00 sf,Plaza: 24 Hours,Plaza: None,,,Full/Partial,40.704569,-74.008858,981794,195970
M010018,Manhattan,1,1,40,BROAD STREET,10004,"40 BROAD STREET, New York, NY 10004",24,7501,,West side of Broad Street between Beaver Street and Exchange Place. Original BBL: 24/32.,1983,Completed,Arcade; Urban Plaza,,Gruzen & Partners,Gruzen & Partners,Arcade 745.00 sf; Urban Plaza 1498.74 sf,Arcade: 24 Hours; Urban Plaza: 24 Hours,"Arcade: None; Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (2); Urban Plaza: Planting (412 sf); Urban Plaza: Seating (64'-1"" LF); Urban Plaza: Trees on Street (3); Urban Plaza: Trees within Space (3)",,,Full/Partial,40.706021,-74.011787,980982,196499
M010019,Manhattan,1,1,55,BROAD STREET,10004,"55 BROAD STREET, New York, NY 10004",25,1,,Northeast corner of Broad and Beaver Streets,1966,Completed,Arcade,,Emery Roth & Sons,Emery Roth & Sons,Arcade 4089.00 sf,Arcade: 24 Hours,Arcade: None,,,Full/Partial,40.705277,-74.011047,981187,196228
M010020,Manhattan,1,1,55,BROADWAY,10006,"55 BROADWAY, New York, NY 10006",20,16,1 Exchange Plaza,Southwest corner of Broadway and Exchange Alley,1983,Completed,Other Public Access Areas; Urban Plaza,,Fox & Fowle,Fox & Fowle; Abel Bainsson and Butz (for alteration in 2010),Other Public Access Areas 0.00 sf; Urban Plaza 1726.00 sf,Other Public Access Areas: 24 Hours; Urban Plaza: 24 Hours,"Other Public Access Areas: Escalator (Pair of escalators on Exchange Alley connecting Other Public Access Areas to Urban Plaza); Other Public Access Areas: Lighting; Other Public Access Areas: Litter Receptacles (3); Other Public Access Areas: Planting; Other Public Access Areas: Plaque/Sign (Open space plaque at Trinity Place); Other Public Access Areas: Retail Frontage; Other Public Access Areas: Seating (36 chairs); Other Public Access Areas: Tables (9); Urban Plaza: Escalator (Pair of escalators on Exchange Alley connecting Other Public Access Areas to Urban Plaza); Urban Plaza: Lighting (Minimum 2 foot candles through walking surfaces); Urban Plaza: Planting (155.3 sf); Urban Plaza: Plaque/Sign (1 entry plaque, 1 information plaque, 1 hours of access plaque); Urban Plaza: Seating (40 linear feet)",,,Full/Partial,40.706855,-74.013024,980639,196803
M010021,Manhattan,1,1,52,BROADWAY,10004,"52 BROADWAY, New York, NY 10004",22,28,,Southeast corner of Exchange Alley and Broadway,1983,Completed,Through Block Arcade Equivalent,Jack Resnick,Emery Roth & Sons,Emery Roth & Sons,Through Block Arcade Equivalent 4841.00 sf,"Through Block Arcade Equivalent: Restricted Hours (Monday through Friday, 6:30 am to 6:30 pm, excluding bank holidays (minimum hours agreed to by owner pending discussions with City)",Through Block Arcade Equivalent: Artwork (On granite wall); Through Block Arcade Equivalent: Escalator (Connecting street level and lower level); Through Block Arcade Equivalent: Lighting; Through Block Arcade Equivalent: Planting; Through Block Arcade Equivalent: Retail Frontage,,,Full/Partial,40.706485,-74.012274,980847,196668
M010022,Manhattan,1,1,45,BROADWAY,10006,"45 BROADWAY, New York, NY 10006",20,9,45 Broadway Atrium,West side of Broadway between Morris Street and Exchange Alley,1983,Completed,Arcade; Shopping Arcade,"HRO International, Ltd.",Fox and Fowle,Fox and Fowle,Arcade 1983.00 sf; Shopping Arcade 81.68 sf,Arcade: 24 Hours; Shopping Arcade: 24 Hours,Arcade: Subway (Improvements to Wall Street subway station); Shopping Arcade: Escalator (Connecting Shopping Arcade and lobby of building); Shopping Arcade: Subway (Improvements to Wall Street subway station),,,Full/Partial,40.706542,-74.013266,980572,196689
M010023,Manhattan,1,1,90,WASHINGTON STREET,10006,"90 WASHINGTON STREET, New York, NY 10006",17,29,,"Bounded by Washington, West, and Rector Streets",1968,Completed,Plaza,,Fred Safran,Fred Safran,Plaza 8789.00 sf,Plaza: 24 Hours,"Plaza: Bicycle Parking (7 bike capacity rack); Plaza: Lighting; Plaza: Planting (96 linear feet of evergreen along West Street, 2 planters along Washington Street); Plaza: Plaque/Sign (2); Plaza: Seating (115 linear feet including 16 benches and 1 seat wall); Plaza: Trees within Space (6)",,,Full/Partial,40.708074,-74.01485,980133,197247
